Name,Qualification,Experinence,Location,Specialty,Availability,Main-Location
Dr. Pradeep Kawatra,"MBBS, MD
            32 years experience
  ","MBBS, MD
            32 years experience
  ",Delhi - Delhi,Internal Medicine,Mon to Sat - 2:00 PM to 3:30 PM,delhi
Dr. D.K. Das,"MBBS, MS
            19 years experience
  ","MBBS, MS
            19 years experience
  ",Delhi - Delhi,Orthopaedics,"Mon, Wed & Fri - 12:00 PM to 2:00 PM",delhi
Dr. Jotinder Khanna,"MBBS, MS 
            17 Years years experience
  ","MBBS, MS 
            17 Years years experience
  ",Delhi - Delhi,General Surgery,Wed & Sat - 10: 00 AM to 12 :00 PM,delhi
Ms. Shraddha Banerjee,"M.Phil 
            5  years experience
  ","M.Phil 
            5  years experience
  ",Delhi - Delhi,Clinical Psychology,Tue & Sat - 2:00 PM to 5:00 PM,delhi
Dr Anjali  Sharma,"BDS, MDS 
            9  years experience
/ Dentist,/ Endodontist  ","BDS, MDS 
            9  years experience
/ Dentist,/ Endodontist  ",Delhi - Delhi,Dental Surgeon,Mon to Sat - 9:00 AM to 6:00 PM,delhi
Ms. Sreeja De,"M.Phil
            10 years experience
  ","M.Phil
            10 years experience
  ",Delhi - Delhi,Clinical Psychology,"Mon, Wed, & Fri - 3:00 PM to 6:00 PM",delhi
Dr. Pankaj Walecha,"MBBS, MS 
            14 years experience
  ","MBBS, MS 
            14 years experience
  ",Delhi - Delhi,Orthopaedic Surgeon,Mon to Sat - 11:00 AM to 3:00 PM,delhi
Dr. Ashwani Maichand,"MBBS,MS 
            32 years experience
  ","MBBS,MS 
            32 years experience
  ",Delhi - Delhi,Orthopaedic Surgeon,Mon & Wed - 10:00 AM to 3:00 PM,delhi
Dr. Vijayant Govinda Gupta,"MBBS,MS,MCh
            6 years experience
  ","MBBS,MS,MCh
            6 years experience
  ",Delhi - Delhi,Urologist & Andrologist,Tue & Thur - 12:00 PM to 3:00 PM,delhi
Dr. Digvijay Sharma,"MBBS, MS
            21 years experience
  ","MBBS, MS
            21 years experience
  ",Delhi - Delhi,Vascular Surgeon,WED: 09:00 AM - 11:00 AM,delhi
Dr. Pradeep Kawatra,"MBBS, MD
            32 years experience
  ","MBBS, MD
            32 years experience
  ",Delhi - Delhi,Internal Medicine,Mon to Sat - 2:00 PM to 3:30 PM,delhi
Dr. D.K. Das,"MBBS, MS
            19 years experience
  ","MBBS, MS
            19 years experience
  ",Delhi - Delhi,Orthopaedics,"Mon, Wed & Fri - 12:00 PM to 2:00 PM",delhi
Dr. Jotinder Khanna,"MBBS, MS 
            17 Years years experience
  ","MBBS, MS 
            17 Years years experience
  ",Delhi - Delhi,General Surgery,Wed & Sat - 10: 00 AM to 12 :00 PM,delhi
Ms. Shraddha Banerjee,"M.Phil 
            5  years experience
  ","M.Phil 
            5  years experience
  ",Delhi - Delhi,Clinical Psychology,Tue & Sat - 2:00 PM to 5:00 PM,delhi
Dr Anjali  Sharma,"BDS, MDS 
            9  years experience
/ Dentist,/ Endodontist  ","BDS, MDS 
            9  years experience
/ Dentist,/ Endodontist  ",Delhi - Delhi,Dental Surgeon,Mon to Sat - 9:00 AM to 6:00 PM,delhi
Ms. Sreeja De,"M.Phil
            10 years experience
  ","M.Phil
            10 years experience
  ",Delhi - Delhi,Clinical Psychology,"Mon, Wed, & Fri - 3:00 PM to 6:00 PM",delhi
Dr. Pankaj Walecha,"MBBS, MS 
            14 years experience
  ","MBBS, MS 
            14 years experience
  ",Delhi - Delhi,Orthopaedic Surgeon,Mon to Sat - 11:00 AM to 3:00 PM,delhi
Dr. Ashwani Maichand,"MBBS,MS 
            32 years experience
  ","MBBS,MS 
            32 years experience
  ",Delhi - Delhi,Orthopaedic Surgeon,Mon & Wed - 10:00 AM to 3:00 PM,delhi
Dr. Vijayant Govinda Gupta,"MBBS,MS,MCh
            6 years experience
  ","MBBS,MS,MCh
            6 years experience
  ",Delhi - Delhi,Urologist & Andrologist,Tue & Thur - 12:00 PM to 3:00 PM,delhi
Dr. Digvijay Sharma,"MBBS, MS
            21 years experience
  ","MBBS, MS
            21 years experience
  ",Delhi - Delhi,Vascular Surgeon,WED: 09:00 AM - 11:00 AM,delhi
Dr. Abhishek Bansal,"M.S., D.N.B., M.R.C.S.
            15 years experience
  ","M.S., D.N.B., M.R.C.S.
            15 years experience
  ",Delhi - Delhi,Orthopaedics & Joint Replacement,Wed & Fri 10am -12noon,delhi
Dr. Ashwani Kumar,"DNB, MBBS
            9 years experience
  ","DNB, MBBS
            9 years experience
  ",Delhi - Delhi,"ENT, Allergy, Cochlear Implant And Head & Neck Surgery",Fri - 1:00 PM to 3:00 PM,delhi
Dr. Manu Saksena,"MBBS,PG Diploma in  and Venereology 
            33  years experience
  ","MBBS,PG Diploma in  and Venereology 
            33  years experience
  ",Delhi - Delhi,Dermatology,Mon to Sat - 5 PM to 7 PM,delhi
Dr. Biren Nadkarni,"MCh,MS,MBBS
            16 years experience
  ","MCh,MS,MBBS
            16 years experience
  ",Delhi - Delhi,Orthopaedics & Joint Replacement,Tue & Fri – 12:00PM to 2:00PM,delhi
Dr. Ruchi Tandon,"MBBS, MS, ACG
            10 years experience
  ","MBBS, MS, ACG
            10 years experience
  ",Delhi - Delhi,Gynecologist Laparoscopic Surgeon & Cosmetic Gynecologist,"Tuesday 1.30-3.30 PM, Thursday 1.30-3.30PM, Friday 1.30-3.30PM",delhi
DR. Puja Sharma,"M.B.B.S, M.D. (Obstet & Gynae)
            11 years experience
/ Obstetrician  ","M.B.B.S, M.D. (Obstet & Gynae)
            11 years experience
/ Obstetrician  ",Delhi - Delhi,Gynaecologist,"Mon, Wed & Fri : 9.00 AM to 10.30 AM",delhi
Dr. Kinshuk Biswas,"MBBS, MS(Ophthalmology)
            21 years experience
  ","MBBS, MS(Ophthalmology)
            21 years experience
  ",Delhi - Delhi,Ophthalmologist,Wednesday & Friday 11:00 AM to 2:00 PM,delhi
Dr. Abhishek Jain,"8 years experience
  ","8 years experience
  ",Delhi - Delhi,Orthopaedic Surgeon,On Call,delhi
Dr. Vinay Sabharwal,"MBBS,MS (General Surgery)
            39 years experience
  ","MBBS,MS (General Surgery)
            39 years experience
  ",Delhi - Delhi,General & Laparoscopic Surgeon,Mon - Sat : 10:00 AM - 2:00 PM,delhi
Dr. Malvika Sabharwal,"MBBS,DGO
            38 years experience
/ Obstetrician  ","MBBS,DGO
            38 years experience
/ Obstetrician  ",Delhi - Delhi,Gynaecologist,Mon - Sat : 10:00 AM - 2:00 PM,delhi
Dr. Sukhvinder Singh Saggu,"MBBS,MS (General Surgery)
            15 years experience
  ","MBBS,MS (General Surgery)
            15 years experience
  ",Delhi - Delhi,Bariatric Surgeon,Every Third Friday - 10 AM to 12 PM,delhi
Dr. Anil Raheja,"MBBS, MS (Ortho), M.Ch (Ortho)
            22 years experience
  ","MBBS, MS (Ortho), M.Ch (Ortho)
            22 years experience
  ",Delhi - Delhi,Orthopaedic Surgeon,Mon - Sat : 11:00 AM - 2:00 PM,delhi
Dr. Vineet Sabharwal,"MBBS, MD
            33 years experience
  ","MBBS, MD
            33 years experience
  ",Delhi - Delhi,Diabetologist,Tue/Thu/Sat : 1:00 PM - 3:00 PM,delhi
Dr. Rakesh Sharma,"MBBS, MD
            25 years experience
  ","MBBS, MD
            25 years experience
  ",Delhi - Delhi,General Physician,Mon/Wed/Sat : 2:00 PM - 4:00 PM,delhi
Dr. Jaisom Chopra,"MBBS,MS,FRCS
            38 years experience
  ","MBBS,MS,FRCS
            38 years experience
  ",Delhi - Delhi,Vascular Surgeon,Thur : 10:00 AM - 11:00 AM,delhi
Dr. R K Trivedi,"MBBS,MS ()
            44 years experience
  ","MBBS,MS ()
            44 years experience
  ",Delhi - Delhi,ENT,Mon to Sat : 12:00 PM - 2:00 PM,delhi
Dr. B P Sharma,"MS ()
            43 years experience
  ","MS ()
            43 years experience
  ",Delhi - Delhi,ENT,Tue/Fri : 10:00 AM - 2:00 PM,delhi
Dr. S C Kakkar,"MBBS, MS (), DLO, DNB
            34 years experience
  ","MBBS, MS (), DLO, DNB
            34 years experience
  ",Delhi - Delhi,ENT,on call,delhi
Dr. Sanjiv Dang,"MBBS, MS ()
            34 years experience
  ","MBBS, MS ()
            34 years experience
  ",Delhi - Delhi,ENT,Mon - Sat : 9:00 AM - 11:00 AM,delhi
Dr. Rajeev Nangia,"MBBS, MS ()
            29 years experience
  ","MBBS, MS ()
            29 years experience
  ",Delhi - Delhi,ENT,Wed/Sat : 11:00 AM -12:00 PM,delhi
Dr. Rakesh Kumar,"MS (Ortho), M.Ch (Ortho)
            14 years experience
  ","MS (Ortho), M.Ch (Ortho)
            14 years experience
  ",Delhi - Delhi,Diabetologist,Mon - Sat : 4:00 PM - 6:00 PM,delhi
Dr. Gaurav Khera,"MBBS, Diploma in Orthopaedics, DNB -Orthopaedics, Mch
            20 years experience
  ","MBBS, Diploma in Orthopaedics, DNB -Orthopaedics, Mch
            20 years experience
  ",Delhi - Delhi,Orthopaedic Surgeon,Tue & Thu : 9:00 AM - 10:30 AM,delhi
Dr. Vishal Garg,"MD
            10 years experience
  ","MD
            10 years experience
  ",Delhi - Delhi,General Physician,Mon/Wed/Fri : 10:00 AM - 2:00 PM,delhi
Dr. Pankaj Jain,"MBBS , MS (Ophthalmology)
            40 years experience
  ","MBBS , MS (Ophthalmology)
            40 years experience
  ",Delhi - Delhi,Ophthalmologist,"Tue, Wed, Fri& Sat :  5:00 PM - 7:00 PM",delhi
Dr. Ashwani Seth,"MBBS, MS (Ophthal)
            31 years experience
  ","MBBS, MS (Ophthal)
            31 years experience
  ",Delhi - Delhi,Ophthalmologist,"Mon/Tue/Thur/Fri: 10:00 AM - 2:00 PM, Wed/Sat: 1:00 PM - 2:00 PM",delhi
Dr. Shivani Sabharwal,"MBBS, MS
            10 years experience
/ Obstetrician  ","MBBS, MS
            10 years experience
/ Obstetrician  ",Delhi - Delhi,Gynaecologist,Mon – Sat : 10:00 AM - 01:00 PM,delhi
Dr. Nikunj Bansal,"MBBS,MS,FNB
            12 years experience
  ","MBBS,MS,FNB
            12 years experience
  ",Delhi - Delhi,General & Laparoscopic Surgeon,Mon - Sat: 10:00 AM - 5:00 PM,delhi
Dr. Glossy Sabharwal,"MBBS, MD ()
            7 years experience
  ","MBBS, MD ()
            7 years experience
  ",Delhi - Delhi,Radiology,Mon - Sat :10:00 AM - 3:00 PM,delhi
Dr. Latika Bhalla,"MBBS,DNB (Pediatrician), PGD
            27 years experience
  ","MBBS,DNB (Pediatrician), PGD
            27 years experience
  ",Delhi - Delhi,Pediatric Surgeon,Mon - Sat : 10:00 AM - 1:30 PM,delhi
Dr. Sunil Sareen,"MBBS, DNB (Paed), MNAMS
            16 years experience
  ","MBBS, DNB (Paed), MNAMS
            16 years experience
  ",Delhi - Delhi,Pediatric Surgeon,Mon to Sat : 5:00 PM - 7:00 PM,delhi
Dr. Aastha Gupta,"MBBS, MD - General Medicine
            5 years experience
  ","MBBS, MD - General Medicine
            5 years experience
  ",Delhi - Delhi,Endocrinologist & Diabetologist,Wed & Fri : 9:00 AM - 10:30 AM,delhi
Dr. Jaisom Chopra,"MBBS, MS
            35 years experience
  ","MBBS, MS
            35 years experience
  ",Delhi - Delhi,Vascular Surgeon,Thu : 11:00 AM - 1:00 PM,delhi
Dr. Usha Maheshwari,"MBBS, MS
            25 years experience
  ","MBBS, MS
            25 years experience
  ",Delhi - Delhi,General & Laparoscopic Surgeon,Mon - Sat : 10:00 AM - 12:00 PM,delhi
Dr. Navneet Kaur,"M.B.B.S.
            16 years experience
  ","M.B.B.S.
            16 years experience
  ",Delhi - Delhi,General Physician,Mon - Sat : 9:00 AM - 02:00 PM,delhi
Dr. Sheetal Agarwal,"MBBS, DNB, MNAMS
            20 years experience
  ","MBBS, DNB, MNAMS
            20 years experience
  ",Delhi - Delhi,Gynaecologist,Mon to Sat : 11:00 AM - 1:00 PM,delhi
Dr. Lalit Mohan Parashar,"MS ()
            30 years experience
  ","MS ()
            30 years experience
  ",Delhi - Delhi,ENT,Mon/Wed/Fri : 9:00 AM - 4:00 PM,delhi
Dr. Kapil Agrawal,"M.B.B.S, M.S. (GENERAL SURGERY), MRCS (Edinburgh, U.K), FMAS
            10 years experience
/ General & Laparoscopic Surgeon  ","M.B.B.S, M.S. (GENERAL SURGERY), MRCS (Edinburgh, U.K), FMAS
            10 years experience
/ General & Laparoscopic Surgeon  ",Delhi - Delhi,Bariatric Surgeon,"Mon, Wed, Fri – 9 AM to 11 AM & Tue, Thurs, Sat – 5 PM to 6 PM",delhi
Dr. Ameet Kishore,"MBBS, FRCS - (Glas), FRCS - (Edin), FRCS-ORL(UK)
            25 years experience
  ","MBBS, FRCS - (Glas), FRCS - (Edin), FRCS-ORL(UK)
            25 years experience
  ",Delhi - Delhi,ENT,on call,delhi
Dr. Nipun Bajaj,"MBBS, DNB(Ortho), FNB(Spine), MNAMS
            10 years experience
/ Spine Surgeon  ","MBBS, DNB(Ortho), FNB(Spine), MNAMS
            10 years experience
/ Spine Surgeon  ",Delhi - Delhi,Orthopaedic Surgeon,"Monday, Wednesday, Friday : 9 AM to 2 PM & Tuesday, Thursday, Saturday – 5 PM to 7 PM",delhi
Dr. S K Pal,"MBBS,MS, M.Ch
            30 years experience
  ","MBBS,MS, M.Ch
            30 years experience
  ",Delhi - Delhi,Urologist & Andrologist,"Tuesday, Thursday, Friday & Saturday  : 10:00 AM - 12:00 PM",delhi
Dr. Anita Singh,"MBBS, MS (Otorhinolaryngology)
            16 years experience
  ","MBBS, MS (Otorhinolaryngology)
            16 years experience
  ",Delhi - Delhi,ENT,Tue/Thur/Sat : 9:00 AM-10:00 AM,delhi
Dr. Anshuman Agarwal,"MBBS, MS (Surgery), MCh (Urology)
            22 years experience
  ","MBBS, MS (Surgery), MCh (Urology)
            22 years experience
  ",Delhi - Delhi,Urologist & Andrologist,On Call,delhi
Dr. Abhishek Kumar Mishra,"M.Ch, MRCS, MS, MBBS
            15 years experience
  ","M.Ch, MRCS, MS, MBBS
            15 years experience
  ",Delhi - Delhi,Orthopaedic Surgeon,Tue & Fri :10:00 AM - 12:00 PM (on appointments),delhi
Dr. Ashish Sabharwal,"MBBS, MS - General Surgery, DNB - Urology
            15 years experience
  ","MBBS, MS - General Surgery, DNB - Urology
            15 years experience
  ",Delhi - Delhi,Urologist & Andrologist,On Call,delhi
Dr. S K Poddar,"MBBS,MS
            26 years experience
  ","MBBS,MS
            26 years experience
  ",Delhi - Delhi,General & Laparoscopic Surgeon,"Mon, Wed & Fri: 12 PM to 2 PM & Tue, Thu & Sat: 10 AM to 12 PM",delhi
Dr. M L Kalra,"MBBS, MD
            35 years experience
  ","MBBS, MD
            35 years experience
  ",Delhi - Delhi,General Physician,"Mon, Wed-Sat : 5:00 PM - 7:00 PM",delhi
Dr. Sandip Banerjee,"MBBS, DNB (Gen. Surgery), FACRSI, FMAS, FIAGES, FAIS
            17 years experience
  ","MBBS, DNB (Gen. Surgery), FACRSI, FMAS, FIAGES, FAIS
            17 years experience
  ",Delhi - Delhi,General & Laparoscopic Surgeon,Mon - Sat : 9:00 AM - 1:00 PM,delhi
Dr. Panna Jain,"MBBS, MD, DPM
            38 years experience
  ","MBBS, MD, DPM
            38 years experience
  ",Delhi - Delhi,Anesthesiology,Mon/Wed/Thu : 8:00 AM - 4:00 PM,delhi
Dr. Rajender Kaur Saggu,"MS (General Surgery), FICS
            13 years experience
  ","MS (General Surgery), FICS
            13 years experience
  ",Delhi - Delhi,Oncologist,Sat : 9:00 AM - 10:00 AM,delhi
Dr. Subhash Saini,"MBBS, MD
            15 years experience
  ","MBBS, MD
            15 years experience
  ",Delhi - Delhi,Anesthesiology,Tue/Fri/Sat : 08:00 AM - 4:00 PM,delhi
Dr. Kartikeya Sangal,"MBBS, MS
            16 years experience
/ Ophthalmologist  ","MBBS, MS
            16 years experience
/ Ophthalmologist  ",Delhi - Delhi,Eye Surgeon,Mon & Thu: 1:00 AM - 03:00 PM,delhi
Dr. Nayeem Ahmad Siddiqui,"MBBS, DLO-MS, DNB
            14 years experience
  ","MBBS, DLO-MS, DNB
            14 years experience
  ",Delhi - Delhi,ENT,Tues/Thurs/Sat - 11:00 AM  - 2:00 PM,delhi
Dr Sridhar Devu,"MBBS, DNB
            11 years experience
  ","MBBS, DNB
            11 years experience
  ",Hyderabad - Hyderabad,Vascular Radiology,On Call,hyderabad
Dr Singapore Alekhya,"MBBS, DDVL, FAM
            6 years experience
  ","MBBS, DDVL, FAM
            6 years experience
  ",Hyderabad - Hyderabad,Dermatology,MON - SAT: 06:00 PM - 08:00 PM,hyderabad
Dr. K S Soma Sekhar Rao,"MBBS, MD, DM
            10 years experience
  ","MBBS, MD, DM
            10 years experience
  ",Hyderabad - Hyderabad,Gastroenterology,MON - SAT: 07:00 PM - 08:00 PM,hyderabad
Dr. DVL Narayan Rao,"MBBS, MS, MCh
            20 years experience
  ","MBBS, MS, MCh
            20 years experience
  ",Hyderabad - Hyderabad,Gastroenterology,MON - SAT: 07:00 PM - 09:00 PM,hyderabad
Dr. B S S Sainadh,"MBBS, DNB
            20 years experience
  ","MBBS, DNB
            20 years experience
  ",Hyderabad - Hyderabad,Gastroenterology,MOB - SAT: 07:00 PM - 07:30 PM,hyderabad
Dr. Ashwin Kumar Myneni,"MBBS, MS, DNB
            12 years experience
  ","MBBS, MS, DNB
            12 years experience
  ",Hyderabad - Hyderabad,Gastroenterology,"MON, WED, SAT: 07:30 PM - 08:30 PM",hyderabad
Dr Amar Raghu Narayan G,"MBBS MS MCh()
            22 years experience
  ","MBBS MS MCh()
            22 years experience
  ",Hyderabad - Hyderabad,Plastic Surgery,On Call,hyderabad
Dr  Lakshmi Godavarthy,"MBBS DNB
            18 years experience
  ","MBBS DNB
            18 years experience
  ",Hyderabad - Hyderabad,Internal Medicine,Mon to Sat : 8:45 AM -10:00 AM,hyderabad
Dr Sanjay Latchamsetty,"MBBS MD
            10 years experience
  ","MBBS MD
            10 years experience
  ",Hyderabad - Hyderabad,General Medicine,Mon – Sat: 11:00 AM-3:00 PM,hyderabad
Dr. SUDHARSHAN RAJ C.,"DNB, DCH, MBBS
            25 years experience
  ","DNB, DCH, MBBS
            25 years experience
  ",Hyderabad - Hyderabad,Paediatrics,Mon to Sat - 05:30 PM to 09:00 PM,hyderabad
Dr Sridhar Devu,"MBBS, DNB
            11 years experience
  ","MBBS, DNB
            11 years experience
  ",Hyderabad - Hyderabad,Vascular Radiology,On Call,hyderabad
Dr Singapore Alekhya,"MBBS, DDVL, FAM
            6 years experience
  ","MBBS, DDVL, FAM
            6 years experience
  ",Hyderabad - Hyderabad,Dermatology,MON - SAT: 06:00 PM - 08:00 PM,hyderabad
Dr. K S Soma Sekhar Rao,"MBBS, MD, DM
            10 years experience
  ","MBBS, MD, DM
            10 years experience
  ",Hyderabad - Hyderabad,Gastroenterology,MON - SAT: 07:00 PM - 08:00 PM,hyderabad
