Name,Qualification,Experinence,Location,Specialty,Availability,Main-Location
Dr. Chandranath R Tiwari,"MBBS., MS., M.Ch ( Neuro Surgery)
            8 years experience
  ","MBBS., MS., M.Ch ( Neuro Surgery)
            8 years experience
  ",Mumbai - Mumbai,Neuro Surgeon,Mon - Sat : 3:00 PM To 6:00 PM,mumbai
Dr Sambit Patnaik,"MBBS, PGDHHM, MS- GENERAL SURGERY
            15 years experience
  ","MBBS, PGDHHM, MS- GENERAL SURGERY
            15 years experience
  ",Mumbai - Mumbai,Colorectal Surgeon,Monday to Friday : 9 AM to 12 PM,mumbai
Dr Aditi Singhi,"MBBS,MS (Obs & Gynaec)
            14 years experience
/ Obstetrician  ","MBBS,MS (Obs & Gynaec)
            14 years experience
/ Obstetrician  ",Mumbai - Mumbai,Gynaecologist,Saturday: 2pm-3pm,mumbai
Dr. Erbaz Momin,"MBBS, MS(Surg), DNB(Surg)
            12+ years experience
  ","MBBS, MS(Surg), DNB(Surg)
            12+ years experience
  ",Mumbai - Mumbai,General & Laparoscopic Surgeon,"Wed: 7pm, Mon- Sat by Appointment",mumbai
Dr. Kekin Gala,"MBBS,DGO
            8 years experience
  ","MBBS,DGO
            8 years experience
  ",Mumbai - Mumbai,Gynaecologist,ON CALL,mumbai
Dr. Ketan Desai,"MBBS, MS, MCH ( URO ), DNB
            23 years experience
  ","MBBS, MS, MCH ( URO ), DNB
            23 years experience
  ",Mumbai - Mumbai,Urologist & Andrologist,Mon - Sat : Only by appt,mumbai
Dr. Reshma Palep,"M.B.B.S, M.S, D.N.B, M.R.C.S
            19 years experience
  ","M.B.B.S, M.S, D.N.B, M.R.C.S
            19 years experience
  ",Mumbai - Mumbai,General & Laparoscopic Surgeon,Fri : 5 : 00 PM - 7 : 00 PM,mumbai
Dr. Varsha Pai Dhunghat,"MBBS, MD, DGO
            15 years experience
  ","MBBS, MD, DGO
            15 years experience
  ",Mumbai - Mumbai,Gynaecologist,Mon - Sat : Only By Appt,mumbai
Dr. Almas Khan,"MBBS, DNB ,FMAS
            5 years experience
  ","MBBS, DNB ,FMAS
            5 years experience
  ",Mumbai - Mumbai,General & Laparoscopic Surgeon,Mon - Sat : 9 : 00 AM - 9 : 00 PM,mumbai
Dr. Jatin Choksi,"MBBS, MS
            20 years experience
  ","MBBS, MS
            20 years experience
  ",Mumbai - Mumbai,General & Laparoscopic Surgeon,Tue & Fri : 10 : 00 AM - 11 : 00 AM,mumbai
Dr. Alok Pande,"MBBS, MS ( ORTHO ), DNB
            10 years experience
  ","MBBS, MS ( ORTHO ), DNB
            10 years experience
  ",Mumbai - Mumbai,Orthopaedic Surgeon,Mon - Sat : Only by appt,mumbai
Dr. Dipak Desai,"MBBS, MS, DORL
            21 years experience
  ","MBBS, MS, DORL
            21 years experience
  ",Mumbai - Mumbai,ENT,Mon - Sat : Only by appt,mumbai
Dr. Hemant Bhandari,"MBBS, MS, MCH ( ORTH )
            15 years experience
  ","MBBS, MS, MCH ( ORTH )
            15 years experience
  ",Mumbai - Mumbai,Orthopaedic Surgeon,Mon - Sat : Only by appt,mumbai
Dr. Vinaykumar Thati,"MBBS, MS, DNB
            11 years experience
  ","MBBS, MS, DNB
            11 years experience
  ",Mumbai - Mumbai,General & Laparoscopic Surgeon,Mon - Sat : 9 : 00 AM - 9 : 00 PM,mumbai
Dr. Safiuddin Nadwi,"MBBS, MS ( ORTHO )
            7 years experience
  ","MBBS, MS ( ORTHO )
            7 years experience
  ",Mumbai - Mumbai,Orthopaedic Surgeon,Mon - Fri : 2 : 00 PM - 4 : 00 PM,mumbai
Dr. Hitesh Kubadia,"MBBS, MS ( ORTHO )
            18 years experience
  ","MBBS, MS ( ORTHO )
            18 years experience
  ",Mumbai - Mumbai,Orthopaedic Surgeon,"Mon, Wed & Fri : 2 : 00 PM - 4 : 00 PM",mumbai
Dr. M S Kothari,"MBBS, MS, MCH ( URO )
            39 years experience
  ","MBBS, MS, MCH ( URO )
            39 years experience
  ",Mumbai - Mumbai,Urologist & Andrologist,Mon - Sat  Only by appt,mumbai
Dr. Abhijit Kale,"MBBS, MS ( ORTHO )
            13 years experience
  ","MBBS, MS ( ORTHO )
            13 years experience
  ",Mumbai - Mumbai,Orthopaedic Surgeon,Mon - Sun : 8 : 00 PM - 9 : 00 PM,mumbai
Dr. Sanjay Chaterjee,"MBBS, MS ( General Surgery ), FCPS, FRCS (U.K)
            16 years experience
  ","MBBS, MS ( General Surgery ), FCPS, FRCS (U.K)
            16 years experience
  ",Mumbai - Mumbai,General & Laparoscopic Surgeon,Mon - Sat : 4 : 00 PM - 6 : 00 PM,mumbai
Dr. Ajay Rathod,"MBBS, MS in Orthopaedics
            19 years experience
  ","MBBS, MS in Orthopaedics
            19 years experience
  ",Mumbai - Mumbai,Orthopaedic Surgeon,"Mon, Wed & Fri : 1 : 00 PM - 3 : 00 PM",mumbai
Dr. Sujit Korday,"M.B.B.S; MS, MCh (Orth), FRCS
            22 years experience
  ","M.B.B.S; MS, MCh (Orth), FRCS
            22 years experience
  ",Mumbai - Mumbai,Orthopaedic Surgeon,Mon - Sat : (By Appt Only),mumbai
Dr. Mukund Andankar,"MBBS, MS, MCH, DNB (Urology)
            22 years experience
  ","MBBS, MS, MCH, DNB (Urology)
            22 years experience
  ",Mumbai - Mumbai,Urologist & Andrologist,Mon - Sat : 7 : 00 PM - 8 : 00 PM,mumbai
Dr. Kiran Shah,"MBBS, MS ( GEN.SURGERY ), F.A.C.R.S.I.
            24 years experience
  ","MBBS, MS ( GEN.SURGERY ), F.A.C.R.S.I.
            24 years experience
  ",Mumbai - Mumbai,General & Laparoscopic Surgeon,Mon - Sat : (By Appt Only),mumbai
Dr. Neeraj Mahajan,"MBBS, MD
            15 years experience
  ","MBBS, MD
            15 years experience
  ",Mumbai - Mumbai,Gynaecologist,On Call,mumbai
Dr. Hardik Shah,"DNB ( GASTROENTEROLOGY ); DNB (MEDICINE ); MBBS.
            8 years experience
  ","DNB ( GASTROENTEROLOGY ); DNB (MEDICINE ); MBBS.
            8 years experience
  ",Mumbai - Mumbai,Gastroenterologist,Mon - Sat : 11 : 00 AM - 1 : 00 PM,mumbai
Dr. Ashim Desai,"MBBS, MS, D.O.R.L
            22 years experience
  ","MBBS, MS, D.O.R.L
            22 years experience
  ",Mumbai - Mumbai,ENT,Wed : 11 : 00 AM - 1 : 00 PM,mumbai
Dr. Bakar Ali Kadiwala,"MBBS; DNB ( OPHTH )
            7 years experience
  ","MBBS; DNB ( OPHTH )
            7 years experience
  ",Mumbai - Mumbai,Ophthalmologist,Mon - Sat : 5 : 00 PM - 7 : 00 PM,mumbai
Dr. Shoaib Padaria Fakhruddin,"M.B.B.S, M.D. (Medicine), D.M. (Cardiology)
            23 years experience
  ","M.B.B.S, M.D. (Medicine), D.M. (Cardiology)
            23 years experience
  ",Mumbai - Mumbai,Cardiologist and Vascular Cardiologist,Thu : 10 : 00 AM - 3 : 00 PM,mumbai
Dr. Jayesh Ranawat,"MBBS, MS, DNB, FCPS
            16 years experience
  ","MBBS, MS, DNB, FCPS
            16 years experience
  ",Mumbai - Mumbai,ENT,Mon - Sat : (By Appt Only),mumbai
Dr. Bhavik Saglani,"M.B.B.S., Post Graduate Course in Diabetology
            6 years experience
  ","M.B.B.S., Post Graduate Course in Diabetology
            6 years experience
  ",Mumbai - Mumbai,Endocrinology,Mon - Sat : 10 : 00 AM - 6 : 00 PM,mumbai
Dr. Mehdi Kazerouni,"MBBS, MS
            32 years experience
  ","MBBS, MS
            32 years experience
  ",Mumbai - Mumbai,General & Laparoscopic Surgeon,Mon - Sat : (By Appt Only),mumbai
Dr. Mukund Jagannathan,"MS, MCh (Plastic Surgery)
            26 years experience
  ","MS, MCh (Plastic Surgery)
            26 years experience
  ",Mumbai - Mumbai,Plastic Surgeon,Mon - Sat : 4:30 PM - 6:30 PM,mumbai
Dr. Aditi Singhi,"MS (OBG), MBBS
            12 years experience
  ","MS (OBG), MBBS
            12 years experience
  ",Mumbai - Mumbai,Gynaecologist,Sat : 02 : 00 PM - 3 : 00 PM,mumbai
Dr. Debraj Shome,"MBBS, MD, DO, DNB, FRCS
            9 years experience
/ Plastic Surgeon  ","MBBS, MD, DO, DNB, FRCS
            9 years experience
/ Plastic Surgeon  ",Mumbai - Mumbai,Cosmetic Surgeon,FRI 2 : 00 PM - 5 : 00 PM,mumbai
Dr. Ila Tyagi,"MS (General Surgery), MCh (Plastic Surgery)
            20 years experience
  ","MS (General Surgery), MCh (Plastic Surgery)
            20 years experience
  ",Mumbai - Mumbai,Gynaecologist,Mon - Sat  11 : 00 AM - 12 : 00 PM,mumbai
Dr. Pravin Gore,"MBBS, DNB (General Surgeon), FAIS, FACRSI
            17 years experience
  ","MBBS, DNB (General Surgeon), FAIS, FACRSI
            17 years experience
  ",Mumbai - Mumbai,Proctologist,Tue & Fri  : 10 : 00 AM - 12 : 00 PM,mumbai
Dr. Neeta Sharma,"MBBS, DO (Ophthal), DNB (Ophthal)
            31 years experience
/ Ophthalmologist  ","MBBS, DO (Ophthal), DNB (Ophthal)
            31 years experience
/ Ophthalmologist  ",Mumbai - Mumbai,Eye Surgeon,Tue & Sat: 5 : 00 PM - 06 : 00 PM,mumbai
Dr. Hitesh Kubadia,"MS (Ortho), Fellowship Joint Replacement Surgeries (Austria & Australia)
            18 years experience
  ","MS (Ortho), Fellowship Joint Replacement Surgeries (Austria & Australia)
            18 years experience
  ",Mumbai - Mumbai,Orthopaedic Surgeon,Mon / Wed / Fri : 2 : 00 PM - 4 : 00 PM,mumbai
Dr. Kaustubh Durve,"MS (Ortho), MRCS, Dip. In sports medicine
            11 years experience
  ","MS (Ortho), MRCS, Dip. In sports medicine
            11 years experience
  ",Mumbai - Mumbai,Orthopaedic Surgeon,Tue / Thu / Sat : 6 : 00 PM - 7 : 00  PM,mumbai
Dr. Prashant Kewle,"MS (), DORL
            17 years experience
  ","MS (), DORL
            17 years experience
  ",Mumbai - Mumbai,ENT,Mon - Fri : 4 : 00 PM- 5 : 00 PM,mumbai
Dr. Suresh Poojari,"MBBS , MS -  , DNB ()
            16 years experience
  ","MBBS , MS -  , DNB ()
            16 years experience
  ",Mumbai - Mumbai,ENT,Mon- Fri : 10 :00 AM - 11 : 00 AM,mumbai
Dr. Sandip Bipte,"MS, Fellow Breast Surgery
            10 years experience
  ","MS, Fellow Breast Surgery
            10 years experience
  ",Mumbai - Mumbai,Oncologist,Mon to Sat : By Appointment,mumbai
Dr. D B Bhosale,"MS (General Surgery), MBBS
            32 years experience
  ","MS (General Surgery), MBBS
            32 years experience
  ",Mumbai - Mumbai,General & Laparoscopic Surgeon,Mon - Sat  : 12 : 00 AM - 1 : 00 PM,mumbai
Dr. Ravindra Hodarkar,"MS, MCh (Uro), DNB (Uro)
            37 years experience
  ","MS, MCh (Uro), DNB (Uro)
            37 years experience
  ",Mumbai - Mumbai,Urologist & Andrologist,Mon - Sat  : 8 : 30 PM - 9 : 00 PM,mumbai
Dr. Dilip Rajpal,"MS, MAIS, FICS (USA), FMAS, Dip. in Laparoscopic Surgery
            15 years experience
  ","MS, MAIS, FICS (USA), FMAS, Dip. in Laparoscopic Surgery
            15 years experience
  ",Mumbai - Mumbai,Consultant – General & Laparoscopic Surgeon,Mon - Fri : 5 :00 PM - 6 : 00 PM,mumbai
Dr. Amit Thadani,"MS (General Surgery), FMAS
            17 years experience
  ","MS (General Surgery), FMAS
            17 years experience
  ",Mumbai - Mumbai,General & Laparoscopic Surgeon,Mon -Wed- Fri  : 9 : 00 AM - 10 : 00 AM & 6:00 PM - 7:00 PM,mumbai
Dr. Vrunda Karanjgaokar,"DGO, MD (OBG), DNB (OBG), MRCOG, DFFP, CCT
            22 years experience
  ","DGO, MD (OBG), DNB (OBG), MRCOG, DFFP, CCT
            22 years experience
  ",Mumbai - Mumbai,Gynaecologist,Mon & Thurs  : 2 : 00 PM - 4 : 00 PM,mumbai
Dr. Nandini Gupta,"MBBS, DNB (Dermatology & Venereology)
            9 years experience
  ","MBBS, DNB (Dermatology & Venereology)
            9 years experience
  ",Mumbai - Mumbai,Dermatologist,Mon - Sat : 5 : 00 PM - 6 : 00 PM,mumbai
Dr. Keyur Sheth,"DNB (Med), DNB (Gastro), FRCP (Gastro)
            7 years experience
/ Gastroenterologist/ Hepatologist  ","DNB (Med), DNB (Gastro), FRCP (Gastro)
            7 years experience
/ Gastroenterologist/ Hepatologist  ",Mumbai - Mumbai,Endoscopist,Mon - Sat  : 5 : 00 PM - 6 : 00 PM,mumbai
Dr. Prasad Chaudhari,"MS in Orthopedics, MBBS, FCPS, DNB
            14 years experience
  ","MS in Orthopedics, MBBS, FCPS, DNB
            14 years experience
  ",Mumbai - Mumbai,Orthopaedic Surgeon,"Mon, Wed & Fri : 3 : 30 AM - 4 : 30 PM",mumbai
Dr. Biswajeet Naidu,"MS in Orthopaedics,MBBS
            27 years experience
  ","MS in Orthopaedics,MBBS
            27 years experience
  ",Mumbai - Mumbai,Orthopaedic Surgeon,N/A,mumbai
Dr. Lakshman Salve,"MS (General Surgery), FACRS, FIAGES
            12 years experience
  ","MS (General Surgery), FACRS, FIAGES
            12 years experience
  ",Mumbai - Mumbai,Proctologist,"Tue, Thu & Sat : 4 : 00 PM - 5 : 00 PM",mumbai
Dr. Haresh Vaghasiya,"MD (OBG), DPE (Austria), DSH (Italy)
            14 years experience
  ","MD (OBG), DPE (Austria), DSH (Italy)
            14 years experience
  ",Mumbai - Mumbai,Gynaecologist,Mon & Wed : 5 : 00 PM - 7 : 00 PM,mumbai
Dr. Priyank Patel,"MS in Ortho, MBBS(Ortho)
            18 years experience
  ","MS in Ortho, MBBS(Ortho)
            18 years experience
  ",Mumbai - Mumbai,Orthopaedic Surgeon,Only Thurs  : 1 : 00 PM - 4 : 00 PM,mumbai
Dr. Aashish Manohar Arbat,"M.B.B.S., M.S. (Ortho), M.Ch (Ortho)
            12 years experience
  ","M.B.B.S., M.S. (Ortho), M.Ch (Ortho)
            12 years experience
  ",Pune - Pune,Orthopaedic Surgeon,Mon - Wed:  4 PM - 7 PM,pune
Dr. Jayasshree Todkar,"MBBS, MS, DLC
            25 years experience
  ","MBBS, MS, DLC
            25 years experience
  ",Pune - Pune,General and Bariatric Surgeon,Mon to Wed : 11 : 00 AM - 1 : 00 PM,pune
Dr. Suraj Susheel Lunavat,"MBBS, MS,  DNB
            12 years experience
  ","MBBS, MS,  DNB
            12 years experience
  ",Pune - Pune,Urologist & Andrologist,Mon - Sat: 4 PM - 5 PM,pune
Dr.  Asmita Potdar,"MBBS, DNB
             16   years experience
  ","MBBS, DNB
             16   years experience
  ",Pune - Pune,Obstetrics & Gynaecology,Mon to Sat – 11 AM to 12 PM,pune
Dr. Girija Wagh,"M.B.B.S., M.D (Obstetrics & Gynaecology)
            27 years experience
/ Obstetrician  ","M.B.B.S., M.D (Obstetrics & Gynaecology)
            27 years experience
/ Obstetrician  ",Pune - Pune,Gynaecologist,Wed : 5 PM - 8 PM,pune
Dr. Anand Kavi,"MBBS, M.S.(ORTHO)
            18 years experience
  ","MBBS, M.S.(ORTHO)
            18 years experience
  ",Pune - Pune,Spine,Mon & Fri : 11 : 00 AM - 1 : 30 PM,pune
Dr. Disha Bongale,"MBBS,DMRE
            15  years experience
  ","MBBS,DMRE
            15  years experience
  ",Pune - Pune,Radiology,Mon - Sat : 11:00 AM to 12:00 PM With Prior Appointment,pune
Dr. Nachiket Kulkarni,"DNB, fellow in clinical rheumotology
            4 years experience
  ","DNB, fellow in clinical rheumotology
            4 years experience
  ",Pune - Pune,Rheumatology,Sat : 6 : 30 PM - 8 : 00 PM,pune
Dr. Anand Jadhav,"MBBS , MCH (ortho), FRCS
            30 years experience
  ","MBBS , MCH (ortho), FRCS
            30 years experience
  ",Pune - Pune,Orthopaedic Surgeon,Mon - Sat : 11 : 00 AM - 3 : 00 PM,pune
Dr. Sanjay Nagarkar,"MD,MBBS
            35 years experience
  ","MD,MBBS
            35 years experience
  ",Pune - Pune,Internal Medicine,Mon - Sat : 10:00 AM to 2:00 PM,pune
Dr. Aashish Manohar Arbat,"M.B.B.S., M.S. (Ortho), M.Ch (Ortho)
            12 years experience
  ","M.B.B.S., M.S. (Ortho), M.Ch (Ortho)
            12 years experience
  ",Pune - Pune,Orthopaedic Surgeon,Mon - Wed:  4 PM - 7 PM,pune
Dr. Jayasshree Todkar,"MBBS, MS, DLC
            25 years experience
  ","MBBS, MS, DLC
            25 years experience
  ",Pune - Pune,General and Bariatric Surgeon,Mon to Wed : 11 : 00 AM - 1 : 00 PM,pune
Dr. Suraj Susheel Lunavat,"MBBS, MS,  DNB
            12 years experience
  ","MBBS, MS,  DNB
            12 years experience
  ",Pune - Pune,Urologist & Andrologist,Mon - Sat: 4 PM - 5 PM,pune
Dr.  Asmita Potdar,"MBBS, DNB
             16   years experience
  ","MBBS, DNB
             16   years experience
  ",Pune - Pune,Obstetrics & Gynaecology,Mon to Sat – 11 AM to 12 PM,pune
Dr. Girija Wagh,"M.B.B.S., M.D (Obstetrics & Gynaecology)
            27 years experience
/ Obstetrician  ","M.B.B.S., M.D (Obstetrics & Gynaecology)
            27 years experience
/ Obstetrician  ",Pune - Pune,Gynaecologist,Wed : 5 PM - 8 PM,pune
Dr. Anand Kavi,"MBBS, M.S.(ORTHO)
            18 years experience
  ","MBBS, M.S.(ORTHO)
            18 years experience
  ",Pune - Pune,Spine,Mon & Fri : 11 : 00 AM - 1 : 30 PM,pune
Dr. Disha Bongale,"MBBS,DMRE
            15  years experience
  ","MBBS,DMRE
            15  years experience
  ",Pune - Pune,Radiology,Mon - Sat : 11:00 AM to 12:00 PM With Prior Appointment,pune
Dr. Nachiket Kulkarni,"DNB, fellow in clinical rheumotology
            4 years experience
  ","DNB, fellow in clinical rheumotology
            4 years experience
  ",Pune - Pune,Rheumatology,Sat : 6 : 30 PM - 8 : 00 PM,pune
Dr. Anand Jadhav,"MBBS , MCH (ortho), FRCS
            30 years experience
  ","MBBS , MCH (ortho), FRCS
            30 years experience
  ",Pune - Pune,Orthopaedic Surgeon,Mon - Sat : 11 : 00 AM - 3 : 00 PM,pune
Dr. Sanjay Nagarkar,"MD,MBBS
            35 years experience
  ","MD,MBBS
            35 years experience
  ",Pune - Pune,Internal Medicine,Mon - Sat : 10:00 AM to 2:00 PM,pune
Dr. Geeta Wadadekar,"M.S,DGO,DNB,M.B.B.S
            8 years experience
  ","M.S,DGO,DNB,M.B.B.S
            8 years experience
  ",Pune - Pune,Obstetrics & Gynaecology,Mon - Sat 6:00 PM to 7:00 PM,pune
Dr. Naresh Munot,"MBBS,MD,MRCP,DM,FCCP
            3 years experience
/ Internal Medicine  ","MBBS,MD,MRCP,DM,FCCP
            3 years experience
/ Internal Medicine  ",Pune - Pune,Cardiology,Mon - Sat : 5:00 PM to 6:00 PM,pune
Dr. Hemant Todkar,"MS, FCPS, DOMS, PGDMLS
            12 years experience
/ Ophthalmologist  ","MS, FCPS, DOMS, PGDMLS
            12 years experience
/ Ophthalmologist  ",Pune - Pune,Eye Surgeon,Mon to Sat : 10 :00 AM - 5 :00 PM,pune
Dr. Amit Sarode,"B.P.Th
            10 years experience
  ","B.P.Th
            10 years experience
  ",Pune - Pune,Physiotherapist,Mon - Sat: 11 AM - 2 PM,pune
Dr. Mayur Jawale,"MBBS,MS
            14 years experience
/ Ophthalmologist  ","MBBS,MS
            14 years experience
/ Ophthalmologist  ",Pune - Pune,Eye Surgeon,Wed : 10:00 AM to 1:00 PM,pune
Dr. Satish Pattanshetti,"MBBS,MS
            12 years experience
/ Laparoscopic Surgeon  ","MBBS,MS
            12 years experience
/ Laparoscopic Surgeon  ",Pune - Pune,General & Laparoscopic Surgeon,On call,pune
